ID_Cliente,Nombre_Cliente,Segmento,Puntaje_Fidelidad,Canal_Preferido,Cantidad_Pedidos,Monto_Total_Comprado,Ganancia_Total_Generada,Region,Estado,Ciudad,Anio_Ultima_Compra,Ticket_Promedio
C0074,Constanza Fuentes,Corporativo,83,Web,3,11890.61,3455.56,Sur,La Araucanía,Temuco,2025,3963.54
C0075,Ana Rodríguez,Corporativo,78,Correo,1,663.57,141.7,Norte,Coquimbo,La Serena,2024,663.57
C0076,Isidora Silva,Corporativo,65,Teléfono,8,45007.22,13179.49,Norte,Antofagasta,Antofagasta,2025,5625.9
C0077,Paula Morales,Home Office,31,Correo,3,16979.33,3239.94,Centro,Maule,Talca,2025,5659.78
C0078,Ignacio Flores,Consumidor,20,Web,6,31495.91,7138.9,Austral,Magallanes,Punta Arenas,2024,5249.32
C0079,Benjamín Hernández,Consumidor,58,Teléfono,3,22636.64,6841.59,Austral,Magallanes,Punta Arenas,2023,7545.55
C0080,Daniela Morales,Corporativo,63,Teléfono,3,8320.81,2898.16,Austral,Aysén,Coyhaique,2024,2773.6
C0081,Felipe González,Home Office,54,Web,7,34927.0,13374.11,Centro,Maule,Talca,2024,4989.57
C0082,María Muñoz,Consumidor,12,App,8,35167.15,8688.21,Centro,Maule,Talca,2024,4395.89
C0083,Sofía Torres,Home Office,69,App,3,17229.18,3688.05,Centro,Maule,Talca,2024,5743.06
C0084,Pedro Castillo,Home Office,49,App,3,21378.89,6221.84,Norte,Coquimbo,La Serena,2025,7126.3
C0085,Ana Sepúlveda,Home Office,60,Sin Información,4,9705.33,3916.48,Sur,Los Ríos,Valdivia,2024,2426.33
C0086,Josefa Silva,Consumidor,82,Web,2,8544.71,3662.41,Sur,La Araucanía,Temuco,2025,4272.35
C0087,Tomás Fuentes,Home Office,74,Web,4,27430.04,9531.62,Sur,Los Ríos,Valdivia,2024,6857.51
C0088,Benjamín Fuentes,Corporativo,56,Correo,3,17138.36,6520.27,Centro,O'Higgins,Rancagua,2023,5712.79
C0089,Sofía Fuentes,Consumidor,88,Teléfono,2,7096.01,2907.61,Norte,Tarapacá,Iquique,2024,3548.0
C0090,Daniela Fuentes,Home Office,51,Teléfono,4,25725.96,6361.91,Centro,Maule,Talca,2023,6431.49
C0091,Valentina Hernández,Consumidor,53,Correo,6,23982.26,8164.74,Norte,Tarapacá,Iquique,2025,3997.04
C0092,Benjamín Morales,Consumidor,55,App,2,9903.53,1973.39,Centro,Metropolitana,Santiago,2023,4951.76
C0093,Valentina Castillo,Home Office,76,Web,3,14303.92,4202.94,Norte,Antofagasta,Antofagasta,2024,4767.97
C0094,Jorge Fuentes,Corporativo,98,App,2,9504.08,3331.07,Norte,Antofagasta,Antofagasta,2023,4752.04
C0095,Martina Torres,Corporativo,47,Web,7,39711.3,13417.59,Sur,Biobío,Concepción,2025,5673.04
C0096,Martina Silva,Corporativo,70,Teléfono,2,11972.28,3940.65,Austral,Aysén,Coyhaique,2024,5986.14
C0097,Sebastián Flores,Corporativo,44,Correo,3,16830.58,5331.68,Centro,Maule,Talca,2024,5610.19
C0098,Jorge Díaz,Home Office,25,Teléfono,3,21709.85,7273.88,Centro,Maule,Talca,2025,7236.62
C0099,Pedro Contreras,Consumidor,85,Teléfono,2,8679.94,2482.88,Centro,Metropolitana,Santiago,2023,4339.97
C0100,Diego Díaz,Consumidor,56,App,4,25107.52,9927.76,Sur,Biobío,Concepción,2025,6276.88
C0101,Ana Flores,Consumidor,16,Web,8,54445.97,14837.72,Norte,Tarapacá,Iquique,2025,6805.75
C0102,Sofía Torres,Consumidor,70,Sin Información,3,22546.72,6323.14,Centro,Metropolitana,Santiago,2024,7515.57
C0103,Fernanda Soto,Consumidor,24,Correo,4,16453.86,4058.58,Austral,Aysén,Coyhaique,2023,4113.46
C0104,Felipe Rojas,Home Office,29,Web,6,27315.42,8631.31,Norte,Coquimbo,La Serena,2025,4552.57
C0105,Diego Rojas,Consumidor,87,Correo,5,31044.0,10424.5,Austral,Magallanes,Punta Arenas,2025,6208.8
C0106,Paula Hernández,Corporativo,49,Correo,5,19441.76,6884.16,Centro,Maule,Talca,2025,3888.35
C0107,Matías Díaz,Consumidor,43,App,4,21851.05,7152.32,Austral,Magallanes,Punta Arenas,2025,5462.76
C0108,Jorge Soto,Home Office,10,App,1,1342.0,199.77,Centro,Metropolitana,Santiago,2024,1342.0
C0109,Martina Castillo,Corporativo,39,Web,3,19945.44,6891.66,Norte,Coquimbo,La Serena,2023,6648.48
C0110,Diego Hernández,Consumidor,90,Teléfono,3,10307.63,4206.71,Sur,Los Lagos,Puerto Montt,2025,3435.88
C0111,Carlos Flores,Consumidor,44,App,6,33693.17,8432.77,Sur,Biobío,Concepción,2025,5615.53
C0112,Luis Soto,Corporativo,66,Teléfono,1,5276.29,1942.94,Sur,Los Ríos,Valdivia,2023,5276.29
C0113,Martina Sepúlveda,Home Office,74,Teléfono,5,21881.22,6829.98,Norte,Antofagasta,Antofagasta,2024,4376.24
C0114,Daniela Rojas,Home Office,51,Correo,3,9405.41,3003.07,Austral,Aysén,Coyhaique,2024,3135.14
C0115,María Silva,Home Office,96,Web,1,8163.0,2296.67,Centro,Maule,Talca,2025,8163.0
C0116,Luis Soto,Corporativo,45,Correo,1,6349.86,982.28,Centro,Metropolitana,Santiago,2024,6349.86
C0117,Sebastián Torres,Consumidor,62,Teléfono,8,37363.0,11691.86,Centro,Metropolitana,Santiago,2025,4670.38
C0118,Nicolás Díaz,Consumidor,98,Correo,3,17939.87,5292.97,Austral,Magallanes,Punta Arenas,2025,5979.96
C0119,Nicolás López,Home Office,21,Sin Información,4,11456.9,4396.78,Norte,Tarapacá,Iquique,2025,2864.22
C0120,Fernanda Díaz,Corporativo,94,Web,12,44752.91,15411.35,Centro,Valparaíso,Valparaíso,2025,3729.41
C0121,Sebastián Muñoz,Consumidor,89,Teléfono,6,17750.01,5328.01,Austral,Aysén,Coyhaique,2024,2958.34
C0122,Daniela Muñoz,Consumidor,46,App,3,8232.04,2939.68,Centro,O'Higgins,Rancagua,2024,2744.01
C0123,Felipe Díaz,Consumidor,100,App,8,44492.52,12302.44,Sur,Los Lagos,Puerto Montt,2025,5561.56
C0124,Tomás González,Home Office,38,Web,6,32962.04,10175.22,Sur,Los Ríos,Valdivia,2024,5493.67
C0125,Carlos Pérez,Corporativo,63,Teléfono,8,39924.98,10705.53,Centro,O'Higgins,Rancagua,2024,4990.62
C0126,Jorge Hernández,Home Office,34,Correo,5,34470.25,11861.31,Centro,Valparaíso,Valparaíso,2025,6894.05
C0127,Isidora Pérez,Consumidor,53,Correo,1,5382.87,1443.12,Norte,Tarapacá,Iquique,2023,5382.87
C0128,Constanza González,Corporativo,29,Correo,1,10028.96,4916.82,Sur,La Araucanía,Temuco,2025,10028.96
C0129,Felipe Rodríguez,Corporativo,68,Correo,5,18598.95,5578.22,Centro,Maule,Talca,2024,3719.79
C0130,Martina Silva,Home Office,62,App,1,2480.96,1090.2,Centro,Valparaíso,Valparaíso,2025,2480.96
C0131,Matías Torres,Home Office,94,Correo,2,9696.45,1225.38,Sur,La Araucanía,Temuco,2024,4848.23
C0132,Luis Pérez,Home Office,22,Teléfono,2,13587.1,4283.41,Austral,Aysén,Coyhaique,2024,6793.55
C0133,Antonia Hernández,Consumidor,93,Correo,4,20592.89,6586.88,Sur,Los Ríos,Valdivia,2024,5148.22
C0134,Felipe Martínez,Corporativo,93,Correo,4,14882.06,4307.75,Centro,Maule,Talca,2024,3720.52
C0135,Benjamín Flores,Corporativo,79,Correo,7,42301.5,12383.5,Sur,Biobío,Concepción,2024,6043.07
C0136,María Silva,Home Office,21,Sin Información,2,12658.46,3798.41,Centro,O'Higgins,Rancagua,2023,6329.23
C0137,Javiera Díaz,Corporativo,13,Teléfono,9,40635.06,13837.79,Sur,Los Ríos,Valdivia,2024,4515.01
C0138,Gabriel Muñoz,Corporativo,65,Teléfono,4,28825.1,8541.36,Austral,Magallanes,Punta Arenas,2025,7206.28
C0139,Antonia Fuentes,Home Office,31,App,5,17361.53,6468.1,Centro,O'Higgins,Rancagua,2025,3472.31
C0140,Ignacio López,Home Office,73,App,7,22285.63,7605.9,Centro,Maule,Talca,2024,3183.66
C0141,Daniela Martínez,Corporativo,69,Web,8,33261.49,9250.27,Norte,Tarapacá,Iquique,2024,4157.69
C0142,Tomás Soto,Consumidor,85,Teléfono,7,25258.18,9264.32,Centro,Maule,Talca,2024,3608.31
C0143,Sebastián Martínez,Corporativo,59,App,2,9698.82,3023.09,Austral,Magallanes,Punta Arenas,2024,4849.41
C0144,Jorge López,Home Office,99,Teléfono,3,20036.34,5103.53,Sur,Biobío,Concepción,2024,6678.78
C0145,Constanza López,Corporativo,87,Web,1,3211.55,628.63,Centro,Metropolitana,Santiago,2023,3211.55
C0146,Javiera Silva,Home Office,91,App,7,30947.03,10036.55,Austral,Aysén,Coyhaique,2024,4421.0
C0147,Valentina Pérez,Home Office,49,Web,2,5060.44,1802.3,Austral,Magallanes,Punta Arenas,2025,2530.22
C0148,Josefa Rodríguez,Home Office,47,Web,3,7408.39,2767.9,Norte,Antofagasta,Antofagasta,2024,2469.46
C0149,Sebastián Soto,Consumidor,77,Teléfono,5,16224.87,2841.79,Centro,Maule,Talca,2024,3244.97
C0150,Constanza Soto,Corporativo,53,Teléfono,5,23006.97,6744.95,Sur,La Araucanía,Temuco,2025,4601.39
C0151,María Pérez,Consumidor,81,Correo,3,11816.58,2517.61,Norte,Tarapacá,Iquique,2023,3938.86
C0152,Gabriel López,Consumidor,68,Web,3,6855.71,1327.86,Centro,Metropolitana,Santiago,2025,2285.24
C0153,Matías Martínez,Home Office,23,Sin Información,7,31660.39,10487.0,Centro,Metropolitana,Santiago,2025,4522.91
C0154,Ana Castillo,Home Office,92,App,4,25764.08,8190.71,Sur,Los Ríos,Valdivia,2023,6441.02
C0155,Constanza Hernández,Home Office,24,Correo,6,28478.73,8768.44,Sur,Biobío,Concepción,2025,4746.46
C0156,Luis Sepúlveda,Corporativo,40,Web,3,12275.78,3210.21,Centro,O'Higgins,Rancagua,2025,4091.93
C0157,Paula Hernández,Corporativo,85,Correo,3,11439.05,3311.71,Sur,La Araucanía,Temuco,2023,3813.02
C0158,Catalina Díaz,Corporativo,45,Correo,5,26739.45,7026.47,Centro,Metropolitana,Santiago,2024,5347.89
C0159,Andrés Contreras,Corporativo,56,App,4,18825.22,6420.61,Centro,Valparaíso,Valparaíso,2024,4706.3
C0160,Andrés Flores,Home Office,60,Web,5,16878.57,5798.46,Sur,Los Ríos,Valdivia,2024,3375.71
C0161,Carlos Hernández,Consumidor,92,App,6,16406.3,4877.05,Sur,Los Lagos,Puerto Montt,2024,2734.38
C0162,Gabriel Morales,Consumidor,18,App,0,0.0,0.0,Norte,Coquimbo,La Serena,0,0.0
C0163,Camila Silva,Corporativo,45,Web,5,37500.33,11657.06,Austral,Magallanes,Punta Arenas,2025,7500.07
C0164,Tomás Martínez,Consumidor,26,Web,5,21730.39,8591.71,Sur,Los Lagos,Puerto Montt,2025,4346.08
C0165,Gabriel Silva,Home Office,32,Web,3,11079.85,4038.14,Sur,Los Ríos,Valdivia,2024,3693.28
C0166,Sofía Fuentes,Home Office,70,Web,1,9653.5,3822.86,Centro,Metropolitana,Santiago,2024,9653.5
C0167,Antonia Espinoza,Consumidor,88,App,7,32850.71,8773.97,Centro,Metropolitana,Santiago,2025,4692.96
C0168,Gabriel Araya,Corporativo,17,Web,4,14253.3,5337.76,Centro,O'Higgins,Rancagua,2024,3563.32
C0169,Sebastián Díaz,Corporativo,20,Web,2,14121.69,3908.39,Norte,Antofagasta,Antofagasta,2025,7060.84
C0170,Sofía Rojas,Consumidor,58,Sin Información,7,36129.61,11240.12,Centro,Metropolitana,Santiago,2024,5161.37
C0171,Daniela Araya,Home Office,99,Web,3,15397.51,3795.43,Norte,Coquimbo,La Serena,2023,5132.5
C0172,Catalina Flores,Home Office,67,Correo,2,12858.35,4103.55,Austral,Magallanes,Punta Arenas,2023,6429.17
C0173,Fernanda Hernández,Corporativo,50,Web,2,3022.44,1223.87,Centro,Metropolitana,Santiago,2024,1511.22
C0174,Nicolás Martínez,Corporativo,18,Correo,9,44127.26,12726.17,Sur,Los Lagos,Puerto Montt,2025,4903.03
C0175,María Fuentes,Consumidor,81,App,5,19433.44,6314.46,Centro,Metropolitana,Santiago,2024,3886.69
C0176,Tomás Flores,Corporativo,62,Web,2,8074.78,2408.44,Centro,Metropolitana,Santiago,2023,4037.39
C0177,Javiera Fuentes,Home Office,86,Teléfono,4,12810.01,3900.85,Centro,O'Higgins,Rancagua,2025,3202.5
C0178,Carlos Espinoza,Home Office,94,App,2,12983.45,4390.49,Centro,Valparaíso,Valparaíso,2024,6491.72
C0179,Benjamín Díaz,Corporativo,24,Teléfono,4,26674.02,7644.98,Sur,Biobío,Concepción,2025,6668.5
C0180,Jorge Fuentes,Home Office,87,Web,1,3170.4,1043.95,Sur,Los Ríos,Valdivia,2024,3170.4
C0181,Pedro Martínez,Home Office,54,Teléfono,6,29084.58,9132.2,Centro,Valparaíso,Valparaíso,2025,4847.43
C0182,Benjamín Pérez,Home Office,18,Correo,3,4254.74,1328.73,Centro,O'Higgins,Rancagua,2025,1418.25
C0183,Catalina González,Consumidor,58,App,5,21916.5,8176.3,Sur,Biobío,Concepción,2025,4383.3
C0184,Fernanda Soto,Corporativo,82,Teléfono,8,43613.86,15960.02,Norte,Coquimbo,La Serena,2024,5451.73
C0185,Sofía Soto,Home Office,44,Web,0,0.0,0.0,Austral,Aysén,Coyhaique,0,0.0
C0186,Sebastián Torres,Home Office,44,Correo,3,15212.51,6338.27,Austral,Magallanes,Punta Arenas,2025,5070.84
C0187,Carlos Rodríguez,Corporativo,96,Sin Información,3,13466.53,2698.18,Centro,O'Higgins,Rancagua,2025,4488.84
C0188,Nicolás Sepúlveda,Consumidor,86,Correo,4,24137.53,9331.47,Centro,O'Higgins,Rancagua,2024,6034.38
C0189,Camila Sepúlveda,Consumidor,47,Teléfono,2,7228.49,2507.45,Centro,Maule,Talca,2024,3614.24
C0190,Ana Torres,Home Office,26,App,2,5266.06,1141.21,Sur,Los Lagos,Puerto Montt,2024,2633.03
C0191,Martina Silva,Home Office,19,Teléfono,2,7980.1,1159.85,Centro,Metropolitana,Santiago,2024,3990.05
C0192,Luis Fuentes,Consumidor,50,Web,4,20077.74,7160.18,Norte,Tarapacá,Iquique,2024,5019.43
C0193,Paula Fuentes,Corporativo,12,Correo,5,33221.44,9638.4,Centro,Valparaíso,Valparaíso,2025,6644.29
C0194,Gabriel Castillo,Corporativo,65,Web,6,39758.13,12792.79,Sur,Los Lagos,Puerto Montt,2025,6626.36
C0195,Sebastián Espinoza,Corporativo,60,Web,4,25779.92,8703.02,Austral,Aysén,Coyhaique,2024,6444.98
C0196,Fernanda Silva,Corporativo,75,Web,3,15730.37,6224.72,Centro,Valparaíso,Valparaíso,2024,5243.46
C0197,Antonia Contreras,Corporativo,40,App,6,28480.37,7427.5,Centro,Metropolitana,Santiago,2025,4746.73
C0198,Valentina Contreras,Consumidor,93,App,5,23827.24,10155.67,Centro,Metropolitana,Santiago,2024,4765.45
C0199,Javiera Torres,Corporativo,97,Correo,7,24515.41,8387.62,Sur,Los Lagos,Puerto Montt,2024,3502.2
C0200,Fernanda Pérez,Corporativo,66,Correo,7,39316.79,13154.46,Centro,Metropolitana,Santiago,2025,5616.68
C0201,Josefa Muñoz,Corporativo,49,Web,2,15079.47,5726.08,Sur,La Araucanía,Temuco,2025,7539.74
C0202,Luis Muñoz,Corporativo,92,Web,3,13062.3,4279.47,Sur,Los Ríos,Valdivia,2024,4354.1
C0203,Ignacio Araya,Corporativo,67,Web,5,15826.5,4401.4,Centro,Valparaíso,Valparaíso,2025,3165.3
C0204,Ignacio Torres,Home Office,67,Sin Información,2,7899.73,3084.42,Sur,Biobío,Concepción,2025,3949.86
C0205,Martina Rojas,Home Office,15,App,1,8223.36,2245.46,Sur,Los Ríos,Valdivia,2024,8223.36
C0206,Daniela Hernández,Home Office,56,App,0,0.0,0.0,Sur,Biobío,Concepción,0,0.0
C0207,Paula Fuentes,Corporativo,90,Web,3,11192.94,2745.04,Norte,Tarapacá,Iquique,2024,3730.98
C0208,Fernanda Díaz,Home Office,46,Correo,4,22321.31,6085.53,Austral,Magallanes,Punta Arenas,2024,5580.33
C0209,Benjamín Castillo,Consumidor,84,Web,8,36080.22,11884.13,Norte,Tarapacá,Iquique,2025,4510.03
C0210,Diego López,Consumidor,49,Web,5,32116.84,9665.79,Austral,Aysén,Coyhaique,2024,6423.37
C0211,Gabriel Morales,Consumidor,92,Web,2,16673.7,5655.06,Sur,Biobío,Concepción,2024,8336.85
C0212,Andrés González,Corporativo,37,App,3,14381.52,3211.66,Sur,La Araucanía,Temuco,2025,4793.84
C0213,Camila Silva,Consumidor,47,Web,3,25391.87,6843.13,Norte,Antofagasta,Antofagasta,2024,8463.96
C0214,Javiera Flores,Home Office,94,Web,3,20048.74,6189.63,Norte,Antofagasta,Antofagasta,2025,6682.91
C0215,Sofía Castillo,Corporativo,33,App,6,29232.93,8395.82,Norte,Coquimbo,La Serena,2025,4872.16
C0216,Daniela Muñoz,Corporativo,66,App,0,0.0,0.0,Sur,Los Ríos,Valdivia,0,0.0
C0217,Gabriel Hernández,Consumidor,49,App,4,2218.29,519.76,Austral,Magallanes,Punta Arenas,2025,554.57
C0218,Andrés Espinoza,Corporativo,58,Teléfono,3,16182.9,5353.77,Centro,Maule,Talca,2024,5394.3
C0219,Sebastián Soto,Consumidor,42,App,3,12979.0,4019.11,Sur,Los Ríos,Valdivia,2024,4326.33
C0220,Felipe Rodríguez,Home Office,46,Web,3,3928.43,1392.31,Norte,Coquimbo,La Serena,2023,1309.48
C0221,Valentina Hernández,Home Office,21,Sin Información,7,33241.17,10248.33,Norte,Tarapacá,Iquique,2024,4748.74
C0222,Isidora Rodríguez,Consumidor,60,Web,2,13960.79,3972.88,Centro,Metropolitana,Santiago,2024,6980.4
C0223,Jorge López,Consumidor,13,App,3,20998.89,5708.03,Sur,Biobío,Concepción,2024,6999.63
C0224,Constanza Morales,Consumidor,46,Web,4,27210.26,11094.03,Norte,Antofagasta,Antofagasta,2024,6802.56
C0225,Constanza Pérez,Home Office,88,Correo,2,23182.06,10189.78,Sur,Los Ríos,Valdivia,2024,11591.03
C0226,Ana Martínez,Consumidor,24,Correo,2,22646.32,6921.82,Sur,Los Lagos,Puerto Montt,2024,11323.16
C0227,Diego Díaz,Consumidor,91,Correo,8,57027.37,17301.36,Sur,Los Ríos,Valdivia,2025,7128.42
C0228,Carlos Torres,Home Office,90,Web,1,3609.83,1068.98,Norte,Antofagasta,Antofagasta,2024,3609.83
